ADM2_EN,ADM3_EN,Area,pop_mild_dro,pop_mod_dro,pop_sev_dro,pop_ex_dro,pop_mse_dro,pop_se_dro,pct_mild_dro,pct_mod_dr,pct_sev_dro,pct_ex_dro,pct_mse_dro,pct_se_dr,pop2020,pop_low,pop_mod,pop_high,pop_vhigh,pop_risk,pop_hvhigh,pct_low,pct_mod,pct_high,pct_vhigh,pct_risk,pvt_hvhigh,pct_norisk,pct_hverisk,flood_high_cat,drought_sev_cat
Matara,Hakmana,49,0,0,0,31910,31910,31910,0,0,0,97.06478326,97.06478326,97.06478326,32875,2367,0,899,368,1267,1267,7.2,0,2.73460076,1.119391635,3.853992395,3.853992395,88.9460076,11.0539924,1.00,1.00
Badulla,Haldummulla,415,0,461,17259,17337,35057,34596,0,1.333741407,49.91715258,50.14307781,101.3939718,100.0602304,34575,1017,0,370,162,532,532,2.94143167,0,1.070137383,0.468546638,1.53868402,1.53868402,95.51988431,4.480115691,1.00,2.00
Badulla,Hali-Ela,170,0,16760,83076,244,100080,83320,0,17.37430161,86.12013193,0.253415387,103.7478489,86.37354732,96465,2963,0,1190,1754,2944,2944,3.071580366,0,1.233608044,1.818276059,3.051884103,3.051884103,93.87653553,6.123464469,1.00,2.00
Hambantota,Hambantota,322,0,0,10572,54576,65148,65148,0,0,16.1176563,83.20638486,99.32404116,99.32404116,65591,3056,0,1883,2374,4257,4257,4.659175802,0,2.870820692,3.619399003,6.490219695,6.490219695,88.8506045,11.1493955,2.00,1.00
Nuwara Eliya,Hanguranketa,224,0,1811,80087,7511,89410,87598,0,2.015871519,89.12472911,8.358483902,99.49908453,97.48321301,89860,4478,0,1749,1182,2931,2931,4.983307367,0,1.946361006,1.315379479,3.261740485,3.261740485,91.75495215,8.245047852,1.00,2.00
Badulla,Haputale,69,0,0,30831,16319,47150,47150,0,0,61.39445261,32.49575436,93.89020697,93.89020697,50218,1142,0,426,453,879,879,2.274084989,0,0.848301406,0.902066988,1.750368394,1.750368394,95.97554662,4.024453383,1.00,2.00
Kandy,Harispattuwa,50,0,0,91245,4616,95861,95861,0,0,92.51655104,4.680351047,97.19690209,97.19690209,98626,4107,0,1568,2995,4563,4563,4.164216332,0,1.589844463,3.036724596,4.626569059,4.626569059,91.20921461,8.790785391,1.00,2.00
Kandy,Hatharaliyadda,64,0,0,0,32576,32576,32576,0,0,0,103.7225671,103.7225671,103.7225671,31407,1104,0,421,823,1244,1244,3.515139937,0,1.340465501,2.620434935,3.960900436,3.960900436,92.52395963,7.476040373,1.00,1.00
Polonnaruwa,Higurakgoda,686,0,14170,44966,3364,62499,48330,0,22.89698983,72.66170909,5.435426863,100.9941258,78.09713596,61884,5300,0,1240,96,1336,1336,8.564410833,0,2.00374895,0.155128951,2.158877901,2.158877901,89.27671127,10.72328873,1.00,2.00
Galle,Hikkaduwa,61,0,0,74146,21321,95467,95467,0,0,71.67088495,20.60945148,92.28033643,92.28033643,103453,7871,0,3411,402,3813,3813,7.608285888,0,3.29714943,0.388582255,3.685731685,3.685731685,88.70598243,11.29401757,1.00,2.00
